"","P02004.LIF14","P02005.LIF16","P02008.LIF09"
"Nrn1l",1.84642608775794,3.80718153609167,1.12194228341608
"Pskh1",1357.12317450208,1129.7811208352,629.409620996418
"Ctrl",18.4642608775794,54.2523368893063,8.9755382673286
"Gm16156",12.9249826143055,17.1323169124125,5.60971141708038
"Slc12a4",1387.58920495009,955.60256555901,7850.23015706228
"Gm45752",55.3927826327381,52.3487461212605,85.2676135396217
"Dpep2",11.0785565265476,8.56615845620627,21.3169033849054
"Dus2",681.331226382678,710.99115186512,1226.28291577377
"Nfatc3",3610.68621461064,2947.71030431898,3769.72607227801
"Esrp2",602.858117652966,287.442205974921,130.145304876265
"1810019D21Rik",39.6981608867956,42.8307922810313,67.3165370049645
"Pla2g15",718.259748137837,516.824893524445,1054.62574641111
"Slc7a6",2635.77324027445,1704.66553278505,3276.07146757494
"Slc7a6os",1553.7675528483,1764.62864197849,2435.7366972963
"Prmt7",1418.97844844197,1222.10527308543,4789.57160790322
"Gm26786",10.1553434826686,17.1323169124125,12.3413651175768
"Zfp90",7.38570435103174,7.61436307218335,4.4877691336643
"Cdh3",1854.73500515285,829.965574867985,3160.51141238308
"Gm10073",16969.5789595393,21015.642079226,20795.200223117
"1110028F18Rik",3.69285217551587,4.75897692011459,3.36582685024823
"Cdh1",14083.6149843737,17992.7399395692,25736.2340392813
"Tango6",1573.15502676976,1985.44517107181,2901.34274491397
"Has3",134.789104406329,181.792918348377,78.5359598391253
"Chtf8",2835.18725775231,4697.1102201531,2856.46505357733
"Utp4",4605.90987591217,7236.50030472625,4473.18388397989
"Rpl10-ps2",1138.32168310277,964.168724015216,915.504903267517
"Sntb2",2318.18795318009,2882.98821820542,3595.82501834852
"Vps4a",971.220122160674,1049.83030857728,1271.16060711041
"Pdf",12.9249826143055,6.66256768816043,2.24388456683215
"Cog8",985.991530862737,1515.25825136449,411.7528180137
"Nip7",2990.28704912398,4684.7368801608,2185.54356809451
"Tmed6",17.5410478337004,2.85538615206876,2.24388456683215
"Terf2",3761.16994076291,4381.11415265749,4659.42630302696
"C630050I24Rik",5.53927826327381,1.90359076804584,0
"Cyb5b",7368.16330319804,7091.82740635476,7453.06258873299
"Rps18-ps3",6952.71743345251,8838.37193603682,11690.6385931955
"Nfat5",3460.20248845837,2083.48009562617,5246.20211725357
"Nqo1",2892.42646647281,3718.66456537754,1557.25588938151
"Nob1",2929.35498822796,3971.84213752764,5531.17545724125
"Wwp2",2864.73007515644,2329.04330470408,3286.16894812568
"Psmd7",6198.45237660339,8679.42210690499,6389.46130405455
"5033426E14Rik",1.84642608775794,3.80718153609167,1.12194228341608
"Zfhx3",1305.42324404486,2125.35909252318,2374.02987170842
"D030068K23Rik",115.401630484871,149.431875291598,198.583784164645
"Gm1943",187.41224790743,138.962126067346,162.681631095331
"Pmfbp1",25.8499652286111,24.7466799845959,8.9755382673286
"Dhx38",2742.86595336441,3519.73933011675,4063.67495053302
"Txnl4b",233.572900101379,283.63502443883,56.0971141708038
"Hp",2.7696391316369,3.80718153609167,3.36582685024823
"Dhodh",1425.44093974913,1883.60306498136,2423.39533217872
"Pkd1l3",105.246287002202,27.6020661366646,381.460376361466
"Ist1",1284.18934403564,545.378755045132,2063.25185920216
"Zfp821",483.763634992579,381.66994899319,416.240587147364
"Atxn1l",1383.89635277457,1373.44073914507,646.238755247659
"Ap1g1",1624.85495722698,1524.77620520472,4938.78993159756
"Gm17344",2.7696391316369,2.85538615206876,3.36582685024823
"Phlpp2",865.050622114593,352.16429208848,1059.11351554477
"Marveld3",174.487265293125,150.383670675621,130.145304876265
"Gm45795",0,0.951795384022918,4.4877691336643
"Tat",1.84642608775794,1.90359076804584,1.12194228341608
"Gm45888",2.7696391316369,0.951795384022918,0
"Zfp612",4.61606521939484,2.85538615206876,5.60971141708038
"Gm21964",9.23213043878968,8.56615845620627,19.0730188180733
"Calb2",28.619604360248,39.9754061289626,10.0974805507447
"Cmtr2",287.119256646359,457.813579715024,116.681997475272
"Hydin",724.72223944499,268.406298294463,1163.45414790247
"Vac14",3196.16355790899,2683.11118756061,3095.43875994495
"Mtss1l",1042.30752653935,803.315304115343,820.139809177151
"Il34",112.631991353234,175.130350660217,502.630142970402
"Gm15895",0.923213043878968,1.90359076804584,2.24388456683215
"Sf3b3",13561.0764015382,20841.4635239498,18464.9261004618
"Cog4",742.26328727869,778.568624130747,1409.15950797059
"Gm26816",11.0785565265476,8.56615845620627,13.4633074009929
"St3gal2",853.048852544166,830.917370252008,944.675402636335
"Ddx19a",1920.28313126825,1916.91590342216,3868.45699321863
"Ddx19b",5124.75560657215,3733.89329152191,11159.9598931397
"Aars",15443.5077980074,14885.1280107344,24350.6353192625
"Clec18a",12.9249826143055,10.4697492242521,24.6827302351537
